Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
13.11,No Sugar,0.041,Household,150.25,2009,Medium,Tier 2,Supermarket Type2,3621.96
12.53,Low Sugar,0.153,Dairy,138.85,2009,Medium,Tier 2,Supermarket Type2,3257.83
15.94,Regular,0.042,Snack Foods,146.67,1987,High,Tier 2,Supermarket Type1,4188.6
8.68,Low Sugar,0.111,Hard Drinks,116.3,1998,Small,Tier 3,Food Mart,1927.01
17.35,reg,0.14,Snack Foods,179.06,1999,Medium,Tier 1,Departmental Store,5169.27
9.5,Regular,0.11,Fruits and Vegetables,96.12,1998,Small,Tier 3,Food Mart,1699.26
11.95,Regular,0.031,Meat,145.9,2009,Medium,Tier 2,Supermarket Type2,3271.57
11.16,No Sugar,0.077,Health and Hygiene,145.96,2009,Medium,Tier 2,Supermarket Type2,3093.48
14.74,Regular,0.083,Soft Drinks,167.42,1999,Medium,Tier 1,Departmental Store,4342.22
11.13,Low Sugar,0.052,Dairy,135.49,2009,Medium,Tier 2,Supermarket Type2,2872.85
10.2,Low Sugar,0.08,Snack Foods,145.66,2009,Medium,Tier 2,Supermarket Type2,2871.58
13.4,Low Sugar,0.047,Frozen Foods,178.15,1987,High,Tier 2,Supermarket Type1,3020.84
12.9,Low Sugar,0.073,Dairy,195.91,1987,High,Tier 2,Supermarket Type1,4508.15
10.82,Low Sugar,0.035,Baking Goods,150.24,2009,Medium,Tier 2,Supermarket Type2,3105.23
12.6,Regular,0.025,Frozen Foods,137.95,2009,Medium,Tier 2,Supermarket Type2,4586.4
13.22,Low Sugar,0.071,Fruits and Vegetables,183.53,1999,Medium,Tier 1,Departmental Store,4328.17
10.15,Low Sugar,0.032,Fruits and Vegetables,135.64,2009,Medium,Tier 2,Supermarket Type2,2653.52
13.84,Regular,0.104,Fruits and Vegetables,168.07,1987,High,Tier 2,Supermarket Type1,4152.87
14.48,Low Sugar,0.027,Breads,140.08,2009,Medium,Tier 2,Supermarket Type2,3723.28
12.02,Regular,0.148,Meat,100.09,1999,Medium,Tier 1,Departmental Store,6429.46
13.06,Low Sugar,0.052,Baking Goods,142.59,2009,Medium,Tier 2,Supermarket Type2,3455.11
11.83,Low Sugar,0.006,Meat,92.83,1998,Small,Tier 3,Food Mart,2157.83
9.03,Low Sugar,0.119,Dairy,123.07,1998,Small,Tier 3,Food Mart,2143.28
12.58,Low Sugar,0.018,Breads,93.84,1987,High,Tier 2,Supermarket Type1,2347.53
12.56,reg,0.066,Frozen Foods,146.26,2009,Medium,Tier 2,Supermarket Type2,3415.96
11.43,Regular,0.12,Dairy,84.85,1998,Small,Tier 3,Food Mart,1904.99
8.43,reg,0.073,Snack Foods,135.37,1998,Small,Tier 3,Food Mart,2259.49
13.93,Low Sugar,0.037,Hard Drinks,164.37,1987,High,Tier 2,Supermarket Type1,4097.06
10.84,No Sugar,0.103,Health and Hygiene,162.99,2009,Medium,Tier 2,Supermarket Type2,3370.23
13.16,No Sugar,0.142,Household,142.18,2009,Medium,Tier 2,Supermarket Type2,3469.66
14.14,Low Sugar,0.058,Soft Drinks,153.07,2009,Medium,Tier 2,Supermarket Type2,3913.96
17.53,Low Sugar,0.08,Dairy,160.16,1999,Medium,Tier 1,Departmental Store,4824.27
12.07,Low Sugar,0.077,Meat,131.58,2009,Medium,Tier 2,Supermarket Type2,3004.57
14.86,No Sugar,0.054,Household,156.97,1987,High,Tier 2,Supermarket Type1,4156.53
14.46,Regular,0.162,Frozen Foods,147.39,2009,Medium,Tier 2,Supermarket Type2,3869.61
15.38,No Sugar,0.011,Household,186.3,1987,High,Tier 2,Supermarket Type1,4872.9
15.33,No Sugar,0.162,Health and Hygiene,121.02,2009,Medium,Tier 2,Supermarket Type2,3526.22
12.82,Low Sugar,0.112,Dairy,178.24,1987,High,Tier 2,Supermarket Type1,4129.11
9.52,Low Sugar,0.113,Baking Goods,85.56,1998,Small,Tier 3,Food Mart,1486.47
12.89,Low Sugar,0.153,Soft Drinks,170.29,2009,Medium,Tier 2,Supermarket Type2,3983.47
17.36,Low Sugar,0.024,Breads,208.6,1999,Medium,Tier 1,Departmental Store,5777.83
12.26,Low Sugar,0.128,Fruits and Vegetables,146.47,2009,Medium,Tier 2,Supermarket Type2,3352.24
14.47,Low Sugar,0.155,Frozen Foods,140.23,2009,Medium,Tier 2,Supermarket Type2,3725.46
12.79,Low Sugar,0.048,Canned,167.19,2009,Medium,Tier 2,Supermarket Type2,3896.66
11.65,Low Sugar,0.063,Fruits and Vegetables,123.93,2009,Medium,Tier 2,Supermarket Type2,2752.96
16.18,Regular,0.073,Seafood,207.06,1999,Medium,Tier 1,Departmental Store,5478.01
12.68,Low Sugar,0.043,Snack Foods,148.86,2009,Medium,Tier 2,Supermarket Type2,3497.51
11.17,Low Sugar,0.021,Baking Goods,139.06,2009,Medium,Tier 2,Supermarket Type2,2954.39
12.32,No Sugar,0.042,Health and Hygiene,138.03,2009,Medium,Tier 2,Supermarket Type2,3192.75
10.78,No Sugar,0.114,Others,164.09,2009,Medium,Tier 2,Supermarket Type2,3378.17
13.45,Regular,0.057,Canned,141.55,2009,Medium,Tier 2,Supermarket Type2,3520.81
11.56,Low Sugar,0.114,Fruits and Vegetables,137.97,2009,Medium,Tier 2,Supermarket Type2,3020.23
15.76,Low Sugar,0.015,Canned,141.45,1987,High,Tier 2,Supermarket Type1,4040.31
14.73,Regular,0.139,Starchy Foods,170.69,1999,Medium,Tier 1,Departmental Store,5890.72
12.66,Regular,0.136,Baking Goods,129.26,2009,Medium,Tier 2,Supermarket Type2,3091.45
11.52,Low Sugar,0.086,Snack Foods,146.28,2009,Medium,Tier 2,Supermarket Type2,3182.28
10.62,Low Sugar,0.036,Snack Foods,195.34,2009,Medium,Tier 2,Supermarket Type2,3982.0
9.72,Low Sugar,0.013,Baking Goods,121.49,1998,Small,Tier 3,Food Mart,2267.15
13.57,Regular,0.089,Fruits and Vegetables,155.39,2009,Medium,Tier 2,Supermarket Type2,3832.6
11.39,Regular,0.059,Fruits and Vegetables,134.62,2009,Medium,Tier 2,Supermarket Type2,2914.81
13.28,Low Sugar,0.045,Dairy,149.12,2009,Medium,Tier 2,Supermarket Type2,4912.92
14.32,No Sugar,0.103,Health and Hygiene,153.19,2009,Medium,Tier 2,Supermarket Type2,3955.22
14.19,Low Sugar,0.08,Fruits and Vegetables,143.34,2009,Medium,Tier 2,Supermarket Type2,3724.87
13.27,Low Sugar,0.07,Frozen Foods,131.16,2009,Medium,Tier 2,Supermarket Type2,3269.14
9.64,Regular,0.039,Snack Foods,104.87,1998,Small,Tier 3,Food Mart,1908.96
15.34,Low Sugar,0.057,Snack Foods,172.37,1987,High,Tier 2,Supermarket Type1,4579.39
13.56,Regular,0.017,Frozen Foods,150.12,2009,Medium,Tier 2,Supermarket Type2,3721.56
11.47,Regular,0.089,Fruits and Vegetables,102.13,1999,Medium,Tier 1,Departmental Store,6680.01
9.32,Low Sugar,0.011,Fruits and Vegetables,108.34,1998,Small,Tier 3,Food Mart,1908.36
7.26,Low Sugar,0.071,Dairy,120.44,1998,Small,Tier 3,Food Mart,1690.77
10.76,Low Sugar,0.078,Soft Drinks,174.99,2009,Medium,Tier 2,Supermarket Type2,5204.13
11.66,Low Sugar,0.027,Hard Drinks,140.56,2009,Medium,Tier 2,Supermarket Type2,3096.31
7.72,No Sugar,0.123,Household,127.19,1998,Small,Tier 3,Food Mart,1932.09
11.46,Regular,0.038,Fruits and Vegetables,106.69,1987,High,Tier 2,Supermarket Type1,2359.34
11.8,Low Sugar,0.014,Fruits and Vegetables,176.73,2009,Medium,Tier 2,Supermarket Type2,3868.99
10.0,Low Sugar,0.123,Fruits and Vegetables,92.43,1998,Small,Tier 3,Food Mart,1737.61
9.71,Low Sugar,0.138,Dairy,130.06,1998,Small,Tier 3,Food Mart,613.03
13.21,Low Sugar,0.067,Snack Foods,157.8,2009,Medium,Tier 2,Supermarket Type2,3800.42
12.02,Low Sugar,0.117,Frozen Foods,150.87,2009,Medium,Tier 2,Supermarket Type2,3388.42
14.56,No Sugar,0.025,Household,134.52,2009,Medium,Tier 2,Supermarket Type2,3628.13
12.78,Regular,0.058,Frozen Foods,148.44,2009,Medium,Tier 2,Supermarket Type2,3511.1
15.19,Low Sugar,0.017,Dairy,174.23,1987,High,Tier 2,Supermarket Type1,4584.3
11.66,Regular,0.094,Canned,145.99,2009,Medium,Tier 2,Supermarket Type2,3207.89
12.51,No Sugar,0.073,Household,169.48,2009,Medium,Tier 2,Supermarket Type2,3880.61
14.79,Regular,0.091,Baking Goods,147.9,2009,Medium,Tier 2,Supermarket Type2,3954.93
14.1,No Sugar,0.052,Household,138.77,2009,Medium,Tier 2,Supermarket Type2,3610.44
16.8,Regular,0.033,Breakfast,176.82,1999,Medium,Tier 1,Departmental Store,4999.19
10.61,No Sugar,0.074,Household,113.98,1987,High,Tier 2,Supermarket Type1,2315.55
14.0,Low Sugar,0.036,Fruits and Vegetables,117.72,2009,Medium,Tier 2,Supermarket Type2,3158.39
13.73,Regular,0.057,Seafood,165.03,1987,High,Tier 2,Supermarket Type1,4065.79
14.87,Regular,0.097,Soft Drinks,151.69,1987,High,Tier 2,Supermarket Type1,4049.79
14.97,No Sugar,0.118,Health and Hygiene,166.95,1999,Medium,Tier 1,Departmental Store,4384.19
12.16,No Sugar,0.039,Household,124.07,2009,Medium,Tier 2,Supermarket Type2,2872.23
14.36,Regular,0.055,Canned,181.23,1987,High,Tier 2,Supermarket Type1,4539.29
12.54,Regular,0.066,Fruits and Vegetables,156.38,2009,Medium,Tier 2,Supermarket Type2,3620.0
8.99,No Sugar,0.066,Health and Hygiene,83.37,1998,Small,Tier 3,Food Mart,1323.01
9.37,Low Sugar,0.047,Meat,130.6,1987,High,Tier 2,Supermarket Type1,2374.51
12.92,No Sugar,0.009,Household,99.86,2009,Medium,Tier 2,Supermarket Type2,2548.61
12.82,No Sugar,0.083,Household,128.5,2009,Medium,Tier 2,Supermarket Type2,3111.82
12.25,Low Sugar,0.105,Dairy,150.03,2009,Medium,Tier 2,Supermarket Type2,3423.5
13.89,Regular,0.036,Dairy,151.52,1998,Small,Tier 3,Food Mart,936.37
10.69,Low Sugar,0.039,Baking Goods,155.64,2009,Medium,Tier 2,Supermarket Type2,4603.38
11.52,Low Sugar,0.051,Snack Foods,96.64,1998,Small,Tier 3,Food Mart,2167.24
11.71,Low Sugar,0.085,Dairy,151.65,2009,Medium,Tier 2,Supermarket Type2,3333.79
14.09,Low Sugar,0.074,Breads,179.77,1999,Medium,Tier 1,Departmental Store,4448.32
14.96,Low Sugar,0.09,Dairy,139.19,2009,Medium,Tier 2,Supermarket Type2,3814.83
14.58,Regular,0.011,Baking Goods,144.79,2009,Medium,Tier 2,Supermarket Type2,3843.45
11.61,Low Sugar,0.033,Baking Goods,153.19,2009,Medium,Tier 2,Supermarket Type2,3343.51
14.12,Low Sugar,0.038,Frozen Foods,144.32,2009,Medium,Tier 2,Supermarket Type2,5007.32
9.65,Regular,0.085,Fruits and Vegetables,68.65,1998,Small,Tier 3,Food Mart,1170.43
14.48,Low Sugar,0.128,Baking Goods,171.58,1999,Medium,Tier 1,Departmental Store,4368.41
9.52,Low Sugar,0.014,Dairy,165.41,2009,Medium,Tier 2,Supermarket Type2,3122.13
11.78,Low Sugar,0.027,Canned,128.7,2009,Medium,Tier 2,Supermarket Type2,2879.9
12.02,Regular,0.089,Frozen Foods,153.28,2009,Medium,Tier 2,Supermarket Type2,3438.3
12.16,Low Sugar,0.059,Snack Foods,157.33,2009,Medium,Tier 2,Supermarket Type2,3552.25
11.52,Low Sugar,0.046,Snack Foods,145.66,2009,Medium,Tier 2,Supermarket Type2,3170.06
10.06,Low Sugar,0.054,Starchy Foods,158.21,2009,Medium,Tier 2,Supermarket Type2,3096.23
11.76,Low Sugar,0.128,Soft Drinks,132.95,2009,Medium,Tier 2,Supermarket Type2,2962.38
16.47,Low Sugar,0.055,Frozen Foods,164.85,1987,High,Tier 2,Supermarket Type1,4680.36
10.96,Low Sugar,0.07,Fruits and Vegetables,135.63,2009,Medium,Tier 2,Supermarket Type2,2837.8
13.46,Low Sugar,0.075,Soft Drinks,135.73,2009,Medium,Tier 2,Supermarket Type2,3404.91
13.53,No Sugar,0.149,Health and Hygiene,144.49,2009,Medium,Tier 2,Supermarket Type2,3600.1
11.47,Low Sugar,0.049,Canned,157.96,2009,Medium,Tier 2,Supermarket Type2,3410.0
14.5,Low Sugar,0.033,Baking Goods,160.2,1987,High,Tier 2,Supermarket Type1,4139.95
11.24,Low Sugar,0.046,Snack Foods,149.78,2009,Medium,Tier 2,Supermarket Type2,2335.73
12.34,Low Sugar,0.168,Canned,156.47,2009,Medium,Tier 2,Supermarket Type2,3576.27
10.71,Low Sugar,0.016,Fruits and Vegetables,128.6,2009,Medium,Tier 2,Supermarket Type2,2637.11
15.55,Regular,0.027,Soft Drinks,162.47,1999,Medium,Tier 1,Departmental Store,4424.01
11.81,Low Sugar,0.1,Soft Drinks,180.62,2009,Medium,Tier 2,Supermarket Type2,3950.16
12.67,Regular,0.119,Seafood,152.41,2009,Medium,Tier 2,Supermarket Type2,3567.79
15.39,Low Sugar,0.09,Breads,154.27,1999,Medium,Tier 1,Departmental Store,4221.01
12.72,Low Sugar,0.274,Baking Goods,108.08,2009,Medium,Tier 2,Supermarket Type2,2671.34
9.91,No Sugar,0.059,Health and Hygiene,116.83,1998,Small,Tier 3,Food Mart,2216.23
10.57,No Sugar,0.047,Household,137.25,2009,Medium,Tier 2,Supermarket Type2,2783.32
10.31,No Sugar,0.054,Health and Hygiene,138.16,2009,Medium,Tier 2,Supermarket Type2,4955.51
10.94,Low Sugar,0.026,Frozen Foods,119.27,1987,High,Tier 2,Supermarket Type1,2499.11
13.73,Regular,0.137,Starchy Foods,120.67,2009,Medium,Tier 2,Supermarket Type2,3157.67
11.99,Regular,0.091,Breads,176.49,2009,Medium,Tier 2,Supermarket Type2,3906.85
10.46,Low Sugar,0.084,Fruits and Vegetables,158.78,2009,Medium,Tier 2,Supermarket Type2,3197.66
17.96,Low Sugar,0.039,Soft Drinks,170.04,1987,High,Tier 2,Supermarket Type1,2778.11
15.24,Low Sugar,0.053,Meat,204.28,1999,Medium,Tier 1,Departmental Store,5209.52
10.97,Low Sugar,0.02,Fruits and Vegetables,127.49,2009,Medium,Tier 2,Supermarket Type2,2673.83
14.08,Low Sugar,0.162,Canned,127.79,2009,Medium,Tier 2,Supermarket Type2,3381.6
13.53,Regular,0.11,Frozen Foods,160.24,2009,Medium,Tier 2,Supermarket Type2,3920.91
11.32,No Sugar,0.04,Health and Hygiene,113.33,1987,High,Tier 2,Supermarket Type1,2463.39
13.01,No Sugar,0.082,Household,163.52,2009,Medium,Tier 2,Supermarket Type2,3871.49
12.15,No Sugar,0.063,Others,155.6,2009,Medium,Tier 2,Supermarket Type2,3514.82
11.96,Regular,0.077,Breads,153.4,2009,Medium,Tier 2,Supermarket Type2,3428.18
7.59,Regular,0.191,Fruits and Vegetables,176.98,2009,Medium,Tier 2,Supermarket Type2,2922.12
12.8,Regular,0.068,Soft Drinks,164.3,2009,Medium,Tier 2,Supermarket Type2,3839.36
11.58,Low Sugar,0.119,Soft Drinks,146.45,2009,Medium,Tier 2,Supermarket Type2,2372.03
12.76,Regular,0.021,Breads,139.6,2009,Medium,Tier 2,Supermarket Type2,3325.15
13.65,Low Sugar,0.011,Breads,159.29,2009,Medium,Tier 2,Supermarket Type2,3929.81
10.19,Low Sugar,0.021,Dairy,113.5,1987,High,Tier 2,Supermarket Type1,2576.85
14.48,Regular,0.095,Frozen Foods,152.25,2009,Medium,Tier 2,Supermarket Type2,3972.42
14.69,Low Sugar,0.019,Dairy,172.11,1999,Medium,Tier 1,Departmental Store,4427.11
11.5,Low Sugar,0.081,Baking Goods,142.71,2009,Medium,Tier 2,Supermarket Type2,3103.4
12.1,Low Sugar,0.12,Baking Goods,126.21,2009,Medium,Tier 2,Supermarket Type2,2901.63
13.98,No Sugar,0.025,Household,143.1,2009,Medium,Tier 2,Supermarket Type2,3672.74
12.47,Low Sugar,0.033,Soft Drinks,175.32,2009,Medium,Tier 2,Supermarket Type2,3991.24
16.2,Low Sugar,0.017,Snack Foods,218.74,1999,Medium,Tier 1,Departmental Store,5722.13
12.64,No Sugar,0.073,Household,120.03,2009,Medium,Tier 2,Supermarket Type2,2897.87
12.81,Regular,0.028,Soft Drinks,124.88,2009,Medium,Tier 2,Supermarket Type2,3036.35
10.7,Low Sugar,0.041,Baking Goods,160.61,2009,Medium,Tier 2,Supermarket Type2,3289.27
9.93,Low Sugar,0.045,Starchy Foods,124.12,1987,High,Tier 2,Supermarket Type1,2368.6
13.5,Low Sugar,0.071,Starchy Foods,168.62,1987,High,Tier 2,Supermarket Type1,4085.83
12.33,No Sugar,0.007,Health and Hygiene,175.13,2009,Medium,Tier 2,Supermarket Type2,3956.26
15.52,Low Sugar,0.017,Snack Foods,152.1,1999,Medium,Tier 1,Departmental Store,4204.01
11.86,Regular,0.123,Snack Foods,111.41,2009,Medium,Tier 2,Supermarket Type2,2544.74
16.45,No Sugar,0.113,Household,190.83,1999,Medium,Tier 1,Departmental Store,5207.97
12.23,Low Sugar,0.081,Fruits and Vegetables,138.72,2009,Medium,Tier 2,Supermarket Type2,3187.99
11.36,No Sugar,0.12,Health and Hygiene,108.46,1987,High,Tier 2,Supermarket Type1,2371.79
13.8,Low Sugar,0.173,Dairy,159.88,2009,Medium,Tier 2,Supermarket Type2,3974.78
10.85,Regular,0.023,Snack Foods,129.11,2009,Medium,Tier 2,Supermarket Type2,2679.45
15.79,Low Sugar,0.069,Canned,144.12,1987,High,Tier 2,Supermarket Type1,4102.26
12.42,Low Sugar,0.086,Fruits and Vegetables,143.96,2009,Medium,Tier 2,Supermarket Type2,3339.0
15.28,No Sugar,0.015,Household,223.92,1999,Medium,Tier 1,Departmental Store,5620.9
13.1,Low Sugar,0.039,Canned,123.62,2009,Medium,Tier 2,Supermarket Type2,3075.52
9.62,Low Sugar,0.039,Baking Goods,177.12,2009,Medium,Tier 2,Supermarket Type2,3382.91
10.33,Regular,0.032,Snack Foods,159.28,2009,Medium,Tier 2,Supermarket Type2,3178.88
15.39,Low Sugar,0.011,Baking Goods,159.13,1998,Small,Tier 3,Food Mart,1103.68
11.62,Regular,0.055,Frozen Foods,156.79,2009,Medium,Tier 2,Supermarket Type2,3420.0
9.45,Low Sugar,0.047,Snack Foods,95.95,1998,Small,Tier 3,Food Mart,1684.82
7.86,Low Sugar,0.064,Snack Foods,90.25,1998,Small,Tier 3,Food Mart,1208.89
8.81,Low Sugar,0.015,Meat,142.71,1987,High,Tier 2,Supermarket Type1,2495.59
11.41,Low Sugar,0.029,Hard Drinks,136.83,2009,Medium,Tier 2,Supermarket Type2,2963.88
